,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
15,1LHZMWefF9502NPfArRfvP,Lift Me Up (feat. Rob Halford of Judas Priest),Five Finger Death Punch,['Five Finger Death Punch'],0.508,0.988,1,-3.613,0,8.45e-05,0.0,0.209,0.174,75.018,246209,4
16,0i8JFpqe9cKwnrcvoNgl1L,Feel Invincible,Skillet,['Skillet'],0.603,0.886,5,-3.777,0,0.00045,0.0,0.26,0.395,126.025,229933,4
17,2I75GCnEOzCvNpxCR3XYZH,Addicted to Pain,Alter Bridge,['Alter Bridge'],0.519,0.99,1,-3.805,0,1.7e-05,0.000251,0.0849,0.285,118.033,256867,4
18,5DYuLpA6SOexZAhpVfqyhy,For the Swarm,Avatar,['Avatar'],0.677,0.98,11,-5.655,1,0.000656,0.0479,0.0976,0.343,119.058,114203,4
19,5SEXNeCl0i7Gzkw4kc9ln6,The Pale King,Testament,['Testament'],0.249,0.98,10,-4.487,0,5.42e-05,0.19,0.269,0.319,156.02,291530,4
20,5ZOCDXK5pMJ3n3zBPTp1uT,No Grave but the Sea,Alestorm,['Alestorm'],0.549,0.974,10,-3.757,0,3.91e-05,2.3e-05,0.112,0.717,140.073,209787,4
21,46QdfDL0LnGlHLKmREiXP5,RISE,I Prevail,['I Prevail'],0.457,0.97,10,-4.214,0,3.37e-05,0.00204,0.189,0.731,163.959,194627,4
22,11Ojp7JniVvwd0gmgvyKkd,Wrong Side of Heaven,Five Finger Death Punch,['Five Finger Death Punch'],0.481,0.932,4,-4.592,0,0.00721,0.0,0.337,0.543,149.992,271000,4
23,08irH52vpSQqYM8ckrsZqg,Breakin' Outta Hell,Airbourne,['Airbourne'],0.433,0.99,2,-3.427,1,5.45e-05,0.751,0.153,0.231,172.067,232425,4
24,6vAQtUlYrzolE6SS9QCTs5,All Out Life,Slipknot,['Slipknot'],0.499,0.97,0,-2.838,1,0.000683,0.136,0.0871,0.0506,106.558,340132,4
25,0WZZENH0kt3O2cBE8q5IRq,War Eternal,Arch Enemy,['Arch Enemy'],0.445,0.98,5,-4.369,0,2.45e-05,0.163,0.129,0.285,155.045,256053,4
26,0sr0z1ymk3w6eyoGKgeMkW,1000hp,Godsmack,['Godsmack'],0.521,0.942,6,-4.471,0,3.99e-05,7.18e-06,0.0373,0.481,92.098,226476,4
27,2UDumaw7osnyjH7RZ2DLpB,I Am Machine,Three Days Grace,['Three Days Grace'],0.402,0.97,2,-4.538,0,1.29e-05,2.62e-06,0.189,0.476,75.106,200147,4
28,0r3ur5jBMpjkcrqbVVvgs7,Moth,HELLYEAH,['HELLYEAH'],0.241,0.923,8,-3.495,1,0.000446,0.0,0.22,0.451,172.046,291132,3
29,0Pl5XX0MbdQ5E702GBhnUn,Stitch,Wage War,['Wage War'],0.501,0.968,6,-5.324,1,0.000114,0.00868,0.683,0.392,149.989,205987,4
30,7f6X7zERAXAbIYVLizIZ3O,ANTI-SOCIAL,While She Sleeps,['While She Sleeps'],0.53,0.938,4,-6.493,0,0.00393,0.00104,0.145,0.242,140.042,254500,4
31,4XixK9sp4Rq1UbvKXZSyt4,Here Comes The Boom,Rise Of The Northstar,['Rise Of The Northstar'],0.59,0.969,7,-3.396,1,0.00219,0.141,0.952,0.224,105.019,251560,4
32,5t2bG4wMvpyfRnYic2A1hI,Nightmare,Avenged Sevenfold,['Avenged Sevenfold'],0.529,0.948,7,-4.928,1,0.000319,0.0001,0.2,0.241,129.98,374453,4
33,4Vai27xbSu7N9K7RNxVmG8,Through It All,From Ashes to New,['From Ashes to New'],0.524,0.944,5,-5.151,0,0.00355,7.55e-06,0.0362,0.494,74.994,213053,4
34,4uTEG0XN5AF7aZdSAuVkLX,Fleur de lis,The Raven Age,['The Raven Age'],0.453,0.971,2,-4.239,1,1.69e-05,0.000327,0.0873,0.252,85.027,253000,4
35,1KCAEG6JcsTzi8ddZzs0nk,You Want a Battle? (Here's a War),Bullet For My Valentine,['Bullet For My Valentine'],0.295,0.98,2,-4.075,0,3.21e-05,0.0,0.359,0.283,134.335,254613,4
36,2t1G0rDxUY9zjML3f5mObb,I Am Above,In Flames,['In Flames'],0.545,0.977,10,-5.033,0,3.12e-05,4.38e-06,0.0704,0.172,120.018,229816,4
37,4HOVQhtjFCRGY9PnsLoR86,Stålfågel,Soilwork,['Soilwork'],0.559,0.975,11,-4.487,0,5.69e-05,0.794,0.11,0.0762,105.024,265824,4
38,14M68PdZSSMRzTBuJNuxO6,Satan Is Real,Kreator,['Kreator'],0.43,0.96,7,-4.32,1,5.64e-05,0.0909,0.126,0.252,101.608,278200,4
39,7ox7vxy21ttBt1o7xIp1Si,Ghost Walking,Lamb of God,['Lamb of God'],0.511,0.992,1,-3.359,1,0.000328,1.55e-05,0.299,0.35,129.921,270693,5
40,47fPXkWBYmYLcRCGrXgoYq,The Last Time,All That Remains,['All That Remains'],0.521,0.961,1,-2.338,0,0.00126,0.0,0.0782,0.331,103.027,238307,4
41,65YTkL1HqiFPcAuCabVwMf,Outlander,Jinjer,['Jinjer'],0.506,0.974,1,-1.906,1,5.91e-05,3.85e-06,0.193,0.183,110.219,236027,3
42,3X1usZ9bRwbyEjAnkLAJWO,Drop Dead Cynical,Amaranthe,['Amaranthe'],0.524,0.891,7,-4.722,1,2.89e-05,0.00115,0.0759,0.57,140.042,197867,4
43,6rLEeo9rNT87t2xHry8xUl,The Saw Is the Law,Whitechapel,['Whitechapel'],0.476,0.994,11,-3.429,0,0.000569,0.000149,0.139,0.216,115.103,267613,4
44,1HFOpXKl2F9pVDzKjbVTTy,Repentless,Slayer,['Slayer'],0.402,0.994,8,-7.338,0,3.79e-05,0.0934,0.145,0.247,104.111,199867,4
45,1G6czdqgskwJ4cBgx9CDAJ,Forever,Code Orange,['Code Orange'],0.306,0.883,7,-4.205,1,1.21e-05,0.774,0.185,0.43,81.188,187947,4
46,3KAS4vmuvRGP2BUQcxmu5i,"Well, Everybody's Fucking In A U.F.O.",Rob Zombie,['Rob Zombie'],0.73,0.907,2,-4.478,1,0.000111,0.00816,0.266,0.573,116.016,163067,4
47,5jQnPdDMHOd8MdCM2avhQm,Rotting In Vain,Korn,['Korn'],0.498,0.946,2,-4.793,1,0.000121,2.56e-05,0.359,0.31,106.275,213000,4
48,5IhtaTempjlVlPmSgI0FQS,Storytime,Nightwish,['Nightwish'],0.465,0.971,5,-3.466,0,0.00366,0.00375,0.326,0.483,156.171,322280,4
49,4XBtYPGMAYJkuJu2w4pmYl,Faster,Within Temptation,['Within Temptation'],0.505,0.932,6,-2.894,0,0.00115,0.000195,0.135,0.486,120.008,263973,4
50,5j3iBuHq6vv7VcBo4Y2QrK,Cirice,Ghost,['Ghost'],0.555,0.798,3,-5.658,1,0.00254,1.5e-05,0.171,0.284,89.987,362093,4
51,1kbwEcixFWVj5dFO9Kso3J,Executioner's Tax (Swing of the Axe),Power Trip,['Power Trip'],0.484,0.991,8,-4.028,0,0.000289,0.657,0.359,0.559,167.035,225245,4
52,15TC83LO1QAu0BZLRdHw01,Unbreakable,Of Mice & Men,['Of Mice & Men'],0.457,0.948,0,-4.318,1,2.18e-05,0.00225,0.152,0.157,139.022,249507,4
53,1BrgjqSg9du0lj3TUMLluL,To Hell and Back,Sabaton,['Sabaton'],0.536,0.849,0,-4.702,1,0.00318,0.00197,0.104,0.305,127.002,206547,4
54,3pWvRhml43vlUrGYlIzLM6,We Drink Your Blood,Powerwolf,['Powerwolf'],0.344,0.92,1,-5.122,0,0.00634,0.0,0.0816,0.505,115.727,222560,4
55,7eDtl2KToh99gXNRRfuY9l,Reign of Darkness,Thy Art Is Murder,['Thy Art Is Murder'],0.392,0.966,9,-3.863,1,0.00132,0.0473,0.239,0.0764,139.83,215227,4
56,0PloHvXx0nAIwVx1zYjm9F,The Dirt (Est. 1981) [feat. Machine Gun Kelly],Mötley Crüe,"['Mötley Crüe', 'Machine Gun Kelly']",0.434,0.828,1,-5.767,1,0.000102,0.000225,0.104,0.37,166.045,232000,4
57,249XHhBxBOblTCYStaC27L,Koolaid,Accept,['Accept'],0.548,0.904,11,-5.197,1,0.000429,0.0842,0.37,0.342,129.016,299720,4
58,3IKJNHnVZ2bXGjAFBJiUYo,God Is Dead?,Black Sabbath,['Black Sabbath'],0.379,0.726,3,-4.935,0,0.000193,0.00266,0.0578,0.178,120.012,532267,4
59,36WNQJFVjYhDRZ6vJhYXEh,Let Me Hear You Scream,Ozzy Osbourne,['Ozzy Osbourne'],0.492,0.979,0,-2.315,1,0.000367,0.0,0.953,0.315,130.005,205800,4
60,3jjU4Pky1ja5J1onU6ei4T,The Vengeful One,Disturbed,['Disturbed'],0.238,0.967,4,-2.602,0,0.000213,1.18e-06,0.26,0.58,170.128,252003,4
61,75R95k0ICuZBFVEjBauOtt,Doomsday,Architects,['Architects'],0.523,0.979,2,-4.214,1,2.62e-05,2.56e-05,0.153,0.179,125.038,248880,4
62,6EF0xhfKtQNqUPz2mnE5BD,The Motherload,Mastodon,['Mastodon'],0.363,0.971,5,-2.974,0,7.1e-06,0.00358,0.0797,0.347,146.018,299787,4
63,7lMFAK8dv0QkWpIlZcWQlJ,Prey,Parkway Drive,['Parkway Drive'],0.27,0.964,6,-4.545,1,3.28e-05,0.0247,0.525,0.325,99.731,255231,3
64,1smvmwmbrQiBwgJZMxVtup,Speed of Light,Iron Maiden,['Iron Maiden'],0.176,0.974,7,-5.778,0,0.000419,2.62e-05,0.107,0.334,185.491,301746,4
65,6ypKaenmVXMCXvlkfYOpjf,Raise Your Horns,Amon Amarth,['Amon Amarth'],0.458,0.873,5,-5.336,1,6.05e-05,0.737,0.0664,0.551,164.984,263760,3
66,5IVA7WzOlWrmZh8EqZqMaw,Looking Down the Barrel of Today,Hatebreed,['Hatebreed'],0.486,0.986,1,-4.71,1,0.000662,0.048,0.29,0.501,180.085,161627,4
67,1HlOGL1p6wlpOZatJ2NwFk,In Due Time,Killswitch Engage,['Killswitch Engage'],0.486,0.959,0,-3.857,0,0.000203,0.0259,0.173,0.527,84.997,197573,4
68,0CcqWuAEJC93K8cBMbAjgI,My Own Grave,As I Lay Dying,['As I Lay Dying'],0.477,0.994,5,-4.953,0,0.000115,0.0129,0.0534,0.0397,125.058,253318,4
69,14EORgkbXqIx5K4Haucmnb,Absolute Zero,Stone Sour,['Stone Sour'],0.552,0.988,1,-2.555,0,0.000108,0.309,0.846,0.619,139.941,229840,4
70,6F5RvdxWcLOJW7LAGuc24r,Moth Into Flame,Metallica,['Metallica'],0.163,0.977,4,-3.585,0,3.64e-05,0.0052,0.0555,0.369,178.44,350644,4
71,5uunXHE4kIW6uS4HWAXaOQ,Silvera,Gojira,['Gojira'],0.333,0.959,2,-4.348,1,3.19e-06,0.0563,0.299,0.242,137.052,212653,4
72,1ZR4QAYsiO9zPsGaMPW2OI,The Enemy Inside,Dream Theater,['Dream Theater'],0.488,0.976,4,-4.165,0,1.18e-05,0.0295,0.067,0.404,143.988,377373,4
73,5mY8mY7DSfuqVbY2psq3Cg,Sorceress,Opeth,['Opeth'],0.446,0.7,2,-9.359,1,0.0236,0.59,0.147,0.357,160.058,349093,4
74,2FsDybzWgntIa8M3Y7AenT,O Father O Satan O Sun!,Behemoth,['Behemoth'],0.261,0.92,1,-4.151,1,0.000382,2.78e-05,0.157,0.183,84.013,433440,4
